entity,year,percent_gdp,gdp,education_spend
South Korea,2002,3.7926199436187704,16807.92,637.460526027488
South Korea,2003,4.13241004943848,17221.59,711.6667158330923
South Korea,2004,4.11529016494751,17992.44,740.4411137540817
South Korea,2005,3.9013700485229506,18644.24,727.3807951347354
South Korea,2006,3.9674301147460898,19538.01,775.1568925621025
South Korea,2007,3.9522900581359903,20482.23,809.5171399745471
South Korea,2008,4.46395015716553,20931.89,934.3891365527157
South Korea,2009,4.6698298454284695,20973.86,979.4435740183836
South Korea,2012,4.61822986602783,23298.47,1075.9768998675343
South Korea,2013,4.93069982528687,23858.47,1176.3895386061204
South Korea,2014,5.05671977996826,24517.46,1239.7792493658062
South Korea,2015,5.0654401779174805,25052.39,1269.0138285885812
United Kingdom,1980,5.07011985778809,21865.22,1108.5928611690533
United Kingdom,1981,5.2884202003479,21670.24,1146.013349623871
